LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60588,11.60552,168,104,104,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:07:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.60327,11.62554,167,99,97,2,GOTEBORG,BE,162,-720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:09:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.60367,11.64453,166,75,71,2,GOTEBORG,BE,162,-720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:11:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.60583,11.65371,164,58,54,2,GOTEBORG,BE,162,-720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:13:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61251,11.66764,164,39,35,2,GOTEBORG,BE,162,-720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:15:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.62119,11.67888,168,34,33,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:17:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.62548,11.68445,168,35,33,3,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:19:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.63911,11.69622,165,21,21,2,GOTEBORG,BE,162,720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:21:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.63911,11.69622,165,21,21,2,GOTEBORG,BE,162,720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:23:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64971,11.71424,161,64,66,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:25:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64971,11.71424,161,64,66,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:27:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65609,11.7494,162,73,73,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:29:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65913,11.76726,164,67,65,2,GOTEBORG,BE,162,-720,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:31:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.66201,11.77584,160,51,49,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:33:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.66527,11.78267,161,47,46,1,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:35:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67547,11.80241,156,48,49,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:37:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67547,11.80241,156,48,49,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:37:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.6793,11.81724,134,75,75,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:39:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.6793,11.81724,134,75,75,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:39:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68093,11.82966,93,76,75,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:41:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68093,11.82966,93,76,75,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:41:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68237,11.8385,75,71,70,1,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,0,2016-12-19T17:43:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68237,11.8385,75,71,70,1,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:43:15.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68315,11.84201,73,67,65,2,GOTEBORG,BE,162,0,VICTORINE,7,117309,25,21,12,9755,12,1,2016-12-19T17:45:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
