LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79758,18.7248,117,131,127,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79338,18.73325,114,130,125,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78927,18.74177,117,129,126,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:31:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78505,18.75043,116,127,126,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:33:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7809,18.75903,116,128,126,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:35:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7768,18.76755,115,131,126,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77287,18.7761,114,127,128,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7689,18.78452,114,127,126,1,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76492,18.79312,112,128,126,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76035,18.80293,115,132,129,2,GDANSK,CY,87,-720,THURKUS,7,122562,12,74,6,3284,9,1,2016-12-15T04:45:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
