LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.52544,18.99381,133,207,207,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52544,18.99381,133,207,207,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.51316,18.98008,130,220,220,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.51045,18.97595,131,221,220,3,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5046,18.96725,130,221,220,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49911,18.95907,129,220,220,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49385,18.9513,123,220,220,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:45:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48882,18.9438,118,221,220,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48388,18.9365,114,222,224,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:49:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47954,18.92885,111,225,225,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:51:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47954,18.92885,111,225,225,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.47167,18.91415,96,230,230,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.4684,18.90735,90,231,230,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.46526,18.90111,83,232,232,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T10:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.46249,18.89519,78,230,232,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T11:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.45947,18.88912,75,229,235,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T11:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.45947,18.88912,75,229,235,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T11:05:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.45584,18.87783,61,257,263,2,GDANSK,CY,289,0,ARETHOUSA,7,123147,44,248,22,169770,6,1,2016-12-14T11:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
