LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.91936,30.01185,106,112,112,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:31:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91936,30.01185,106,112,112,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:31:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91681,30.02415,101,113,112,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:33:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91681,30.02415,101,113,112,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:33:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91476,30.0346,103,111,111,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:35:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91476,30.0346,103,111,111,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:35:05.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91373,30.03997,104,111,111,3,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:37:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91373,30.03997,104,111,111,3,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:37:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91125,30.05279,106,113,112,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:39:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91125,30.05279,106,113,112,1,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:39:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.9088,30.06475,109,112,113,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:41:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.9088,30.06475,109,112,113,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:41:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90645,30.07588,111,112,113,2,RUPLP,CY,151,0,HEINRICH SCHEPERS,7,123303,23,141,12,10600,11,1,2016-12-14T14:43:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
