LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.6673,19.81522,97,126,123,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:41:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66441,19.82296,97,119,122,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:43:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66303,19.82687,96,121,122,3,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:45:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65871,19.8391,94,119,122,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:47:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65556,19.848,92,121,123,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65309,19.85464,90,125,123,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:51:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65178,19.85818,89,123,124,3,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:53:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6485,19.86619,84,126,128,3,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:55:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64723,19.86904,71,134,137,4,KALININGRAD,PT,107,720,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:57:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64336,19.87519,56,137,137,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T13:59:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64171,19.87785,57,138,137,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T14:01:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63765,19.88435,71,135,136,2,KALININGRAD,PT,107,0,BEATA,7,124538,18,92,13,6918,9,1,2016-12-15T14:03:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
