LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.78199,18.99543,96,280,281,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:17:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78318,18.98609,96,282,282,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:19:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78448,18.97593,96,282,511,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:21:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78565,18.96688,97,282,511,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:23:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7864,18.96089,97,282,511,3,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:25:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78783,18.94989,96,282,511,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:27:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78896,18.94084,97,281,281,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:29:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79007,18.93178,96,281,282,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:31:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79121,18.92265,97,282,281,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:33:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79235,18.91357,97,282,281,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:35:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79358,18.90326,97,281,281,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:37:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79473,18.89373,97,281,282,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:39:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79529,18.8892,96,281,281,3,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:41:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79597,18.8836,97,283,282,3,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:43:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79779,18.86851,96,282,284,2,KIEL CANAL,PL,91,0,TOLLUND,7,124752,13,83,7,4170,144,1,2016-12-17T19:45:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
