LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.50361,18.7412,41,221,233,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.50196,18.73859,40,224,233,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.50019,18.73594,39,223,234,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49854,18.73339,41,217,230,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49652,18.73055,40,219,237,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:17:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.4949,18.72806,40,221,236,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49328,18.7256,39,221,231,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.49166,18.72317,40,220,235,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48997,18.7207,39,221,236,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.48833,18.718,40,221,234,2,DANZIG PL GDN,DE,75,0,SELENE PRAHM,7,130867,11,64,3,2422,9,1,2016-12-14T10:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
