LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.42218,18.82547,67,250,258,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.42085,18.81933,70,240,256,2,GDANSK,PT,118,720,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41953,18.81328,69,252,261,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41836,18.80704,68,252,256,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41695,18.80095,63,252,258,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:17:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.4163,18.79858,47,247,265,3,GDANSK,PT,118,720,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41484,18.79428,23,234,283,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41457,18.79224,27,274,284,2,GDANSK,PT,118,0,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.41424,18.7888,40,253,275,2,GDANSK,PT,118,720,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.4141,18.78667,50,266,275,3,GDANSK,PT,118,-720,PHOENIX II,7,132427,17,110,14,6862,11,1,2016-12-14T10:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
