LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.66904,19.80469,60,111,116,1,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T10:51:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66823,19.80823,59,110,115,2,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T10:53:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66736,19.81239,68,109,115,3,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T10:55:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66457,19.82191,88,128,118,2,KALINIGRAD VIA NOK,CY,151,-720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T10:57:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66397,19.82728,67,63,30,2,KALINIGRAD VIA NOK,CY,151,-720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T10:59:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66569,19.82906,53,359,330,3,KALINIGRAD VIA NOK,CY,151,-720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:01:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66569,19.82906,53,359,330,5,KALINIGRAD VIA NOK,CY,151,-720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:03:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66938,19.82304,50,306,302,3,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:05:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66938,19.82304,50,306,302,5,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:07:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67328,19.81677,66,306,286,3,KALINIGRAD VIA NOK,CY,151,-720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:09:02.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67117,19.80715,75,232,240,2,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:11:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67117,19.80715,75,232,240,4,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:13:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67117,19.80715,75,232,240,6,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:15:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67117,19.80715,75,232,240,8,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:17:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.67117,19.80715,75,232,240,10,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-18T11:19:03.000Z,kalingrad,2016-12-18T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66577,19.80354,52,73,78,2,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:09:03.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66685,19.80992,66,68,80,1,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:11:04.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66736,19.81342,66,84,101,2,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:13:03.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66721,19.81684,61,104,124,3,KALINIGRAD VIA NOK,CY,151,720,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:15:03.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
54.66492,19.82332,50,124,134,2,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:17:03.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
54.6634,19.82697,45,124,135,2,KALINIGRAD VIA NOK,CY,151,0,NORDIC PHILIP,7,144106,23,119,12,13031,11,1,2016-12-19T07:19:03.000Z,kalingrad,2016-12-19T00:00:00.000Z,51,Cargo,Kalingrad,0
