LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.3886,18.7207,1,196,222,4,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38859,18.7207,1,225,222,2,PLGDN,CY,184,1,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38859,18.7207,1,225,222,4,PLGDN,CY,184,1,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38867,18.72067,2,33,221,3,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38859,18.72069,1,181,221,2,PLGDN,CY,184,-1,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38859,18.72069,1,181,221,4,PLGDN,CY,184,-1,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38867,18.72067,2,6,221,3,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38867,18.72067,2,6,221,4,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38867,18.72067,1,106,221,3,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3886,18.72071,0,317,221,3,PLGDN,CY,184,0,VITIM,7,145203,25,165,16,22749,11,0,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
