LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.53757,18.52395,0,2,237,2,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:31:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,2,237,4,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,152,237,3,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,166,237,2,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,166,237,4,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,169,237,3,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,124,237,2,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52395,0,124,237,4,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52396,0,271,237,3,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
54.53757,18.52396,0,169,237,2,GDYNIA,MT,210,0,CATHARINA SCHULTE,7,150705,30,166,8,34600,11,1,2016-12-13T11:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Cargo,Gdynia,1
