LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92037,30.00674,113,112,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:19:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.92037,30.00674,113,112,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:19:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91924,30.0125,110,110,111,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:21:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91924,30.0125,110,110,111,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:21:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91684,30.02441,105,112,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:23:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91684,30.02441,105,112,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:23:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91451,30.03618,107,111,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:25:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91451,30.03618,107,111,112,2,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:25:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91338,30.04178,110,111,112,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:27:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91338,30.04178,110,111,112,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:27:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91083,30.05435,115,111,112,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:29:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91338,30.04178,110,111,112,3,SAINT PETERSBURG,BS,95,0,SILVER PEARL,7,182341,17,74,10,2607,21,1,2016-12-15T15:29:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
