LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.91944,30.01161,100,112,112,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:51:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91944,30.01161,100,112,112,1,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:51:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91741,30.02169,96,111,112,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:53:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91741,30.02169,96,111,112,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:53:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91511,30.03304,94,112,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:55:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91605,30.02825,94,111,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:55:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91299,30.04387,98,110,110,1,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:57:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91299,30.04387,98,110,110,1,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:57:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.912,30.04907,101,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:59:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.912,30.04907,101,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T14:59:05.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90944,30.06163,107,110,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:01:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90944,30.06163,107,110,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:01:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90684,30.07403,101,112,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:03:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90684,30.07403,101,112,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:03:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90489,30.08386,89,111,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:05:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90489,30.08386,89,111,110,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:05:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90309,30.09255,72,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:07:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90309,30.09255,72,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:07:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90231,30.09692,70,111,112,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:09:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90231,30.09692,70,111,112,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:09:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90015,30.10746,67,112,112,1,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:11:11.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90155,30.10047,69,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:11:12.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89948,30.11089,66,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:13:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89948,30.11089,66,111,111,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:13:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89792,30.11853,63,113,113,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:15:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89792,30.11853,63,113,113,2,ST PETERSBURG,FO,102,0,EYSTNES,7,182353,16,10,3,4450,12,1,2016-12-19T15:15:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
