LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99723,11.75856,107,203,203,2,ROOMASSAARE,FO,88,2,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:33:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.99125,11.7536,108,202,201,2,ROOMASSAARE,FO,88,-3,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9857,11.74921,109,202,201,2,ROOMASSAARE,FO,88,0,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9825,11.74669,108,202,201,2,ROOMASSAARE,FO,88,3,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.97683,11.74107,105,220,220,2,ROOMASSAARE,FO,88,-3,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.97243,11.73363,107,222,222,2,ROOMASSAARE,FO,88,2,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:43:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.97243,11.73363,107,222,222,2,ROOMASSAARE,FO,88,2,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9624,11.72046,106,202,211,2,ROOMASSAARE,FO,88,11,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:47:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.95989,11.71741,106,215,215,3,ROOMASSAARE,FO,88,1,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:49:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.95989,11.71741,106,215,215,5,ROOMASSAARE,FO,88,1,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:51:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.95989,11.71741,106,215,215,7,ROOMASSAARE,FO,88,1,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:53:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.95989,11.71741,106,215,215,9,ROOMASSAARE,FO,88,1,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:55:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.93928,11.68787,106,218,217,2,ROOMASSAARE,FO,88,2,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:57:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.93469,11.68106,106,218,216,2,ROOMASSAARE,FO,88,-3,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T19:59:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9299,11.67391,105,229,242,2,ROOMASSAARE,FO,88,14,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:01:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.92757,11.66269,111,253,253,2,ROOMASSAARE,FO,88,-2,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:03:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.92583,11.65146,112,252,250,2,ROOMASSAARE,FO,88,0,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:05:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.92407,11.63949,111,263,262,2,ROOMASSAARE,FO,88,0,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:07:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9236,11.62783,112,266,264,2,ROOMASSAARE,FO,88,0,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:09:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.92252,11.61637,112,251,250,2,ROOMASSAARE,FO,88,5,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.9204,11.60408,113,251,250,2,ROOMASSAARE,FO,88,-3,NAVEN,7,182370,13,74,6,4191,9,1,2016-12-14T20:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
