LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60583,11.60017,155,109,110,2,SEGOT,PT,149,-2,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:17:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60333,11.61633,155,99,99,2,SEGOT,PT,149,1,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60266,11.62567,155,94,92,3,SEGOT,PT,149,-10,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:21:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60367,11.64667,155,75,75,2,SEGOT,PT,149,-4,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60733,11.663,156,54,51,2,SEGOT,PT,149,-3,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.614,11.6755,156,32,31,2,SEGOT,PT,149,-10,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.61867,11.68017,157,30,31,2,SEGOT,PT,149,6,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.627,11.6875,159,24,25,2,SEGOT,PT,149,-8,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.63583,11.69467,160,23,25,2,SEGOT,PT,149,8,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:33:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.64433,11.7035,157,36,40,2,SEGOT,PT,149,6,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:35:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.64967,11.71533,151,64,68,2,SEGOT,PT,149,9,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.65317,11.73267,153,72,72,2,SEGOT,PT,149,1,ANINA,7,188849,22,139,13,13720,11,1,2016-12-14T01:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
