LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92065,30.00588,102,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:35:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92065,30.00588,102,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:35:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91843,30.0169,100,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:37:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91843,30.0169,100,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:37:05.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91617,30.028,100,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:39:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91617,30.028,100,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:39:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91407,30.03838,103,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:41:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91407,30.03838,103,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:41:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91187,30.04912,107,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:43:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91187,30.04912,107,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:43:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91057,30.05557,108,112,113,3,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:45:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91057,30.05557,108,112,113,3,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:45:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90795,30.06853,109,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:47:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90795,30.06853,109,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:47:05.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90575,30.07952,104,112,114,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:49:03.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90795,30.06853,109,112,113,2,ST.PETERSBURG,GI,82,0,STORTEBEKER,7,204416,12,71,3,3159,9,1,2016-12-17T03:49:04.000Z,st_petersburg,2016-12-17T00:00:00.000Z,51,Cargo,St. Petersburg,0
