LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.78657,18.99969,102,200,195,2,GDANSK,GI,82,1,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:37:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78064,18.99633,103,196,195,2,GDANSK,GI,82,-13,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:39:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77474,18.99284,102,199,196,1,GDANSK,GI,82,8,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:41:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77189,18.9912,103,197,195,2,GDANSK,GI,82,33,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:43:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76646,18.98801,101,203,196,2,GDANSK,GI,82,-8,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:45:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76058,18.98464,101,199,194,2,GDANSK,GI,82,0,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:47:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75468,18.98134,101,196,194,2,GDANSK,GI,82,3,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:49:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74913,18.97821,100,196,194,2,GDANSK,GI,82,-14,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:51:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74386,18.97522,100,197,194,2,GDANSK,GI,82,-14,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:53:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73862,18.97231,100,197,194,2,GDANSK,GI,82,18,PHANTOM,7,204427,12,71,6,4500,9,1,2016-12-18T14:55:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
