LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.73514,20.80557,105,94,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T02:51:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73489,20.81073,105,95,93,3,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T02:53:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73426,20.82366,107,95,94,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T02:55:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73357,20.83787,108,94,93,1,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T02:57:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73325,20.84498,109,94,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T02:59:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.7326,20.85822,108,95,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73237,20.86353,108,94,93,1,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:03:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73179,20.87703,110,94,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73127,20.88941,110,94,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73071,20.90203,109,94,93,1,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73044,20.90829,108,94,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:11:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.72987,20.92065,108,95,93,2,KLAIPEDA,GI,82,0,SAXUM,7,204431,12,74,9,3158,9,1,2016-12-19T03:13:08.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
