LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.87297,30.20371,0,285,316,2,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,285,316,2,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,285,316,4,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,285,316,4,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87296,30.20373,0,294,316,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87296,30.20373,0,294,316,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87299,30.2037,0,323,316,2,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87299,30.2037,0,323,316,2,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87299,30.2037,0,323,316,4,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87299,30.2037,0,323,316,4,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,5,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,5,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,7,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,339,316,7,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,329,317,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,329,317,3,ST.PETERSBURG,GI,161,-1,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,338,317,2,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,338,317,2,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.87297,30.20371,0,338,317,4,ST.PETERSBURG,GI,161,0,SUEDEROOG,7,205264,25,141,12,16939,11,1,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
