LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79916,18.91567,98,130,127,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:45:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79505,18.92397,97,131,127,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79125,18.93157,97,130,127,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79125,18.93157,97,130,127,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7842,18.94573,97,130,127,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78064,18.95281,97,131,127,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:55:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77656,18.96097,98,130,129,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77278,18.96768,98,134,131,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T16:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76898,18.97444,98,134,132,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76479,18.98042,98,143,151,2,GDYNIA,GI,80,720,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75965,18.98242,95,181,183,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75422,18.98156,99,185,182,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:07:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74874,18.98072,99,185,181,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74274,18.97979,100,185,182,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73727,18.97825,100,193,196,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:13:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73385,18.97587,101,203,201,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72771,18.97163,102,200,197,2,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72419,18.96939,101,200,197,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71801,18.96553,102,200,197,3,GDYNIA,GI,80,0,LIV KRISTIN,7,205637,12,70,5,2348,9,1,2016-12-15T17:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
