LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.92031,11.60433,133,73,73,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:41:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.9228,11.61973,131,74,76,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:43:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.92404,11.63323,131,82,83,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:45:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.9246,11.63996,131,79,81,3,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:47:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.92651,11.65519,129,73,72,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:49:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.93089,11.67163,132,58,57,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:51:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.93556,11.68201,130,48,42,2,UDDEVALLA,GI,89,-720,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:53:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.94171,11.6905,128,36,37,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:55:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.94757,11.69849,130,35,37,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:57:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.9534,11.70642,131,35,37,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T06:59:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.95687,11.71117,130,36,37,3,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:01:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.96272,11.7192,131,35,37,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:03:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.96945,11.72901,131,39,40,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:05:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.97495,11.73773,131,39,40,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:07:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98145,11.74548,130,25,25,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:09:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98471,11.74832,129,25,25,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:11:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99124,11.7539,128,25,25,2,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:13:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99817,11.75992,128,24,25,3,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:15:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99817,11.75992,128,24,25,3,UDDEVALLA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-15T07:17:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99736,11.75871,98,203,202,2,MALAGA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-16T15:37:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.99181,11.75442,99,202,202,2,MALAGA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-16T15:39:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.98667,11.75042,100,202,201,2,MALAGA,GI,89,0,TASMAN,7,206519,14,10,7,4535,144,1,2016-12-16T15:41:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
