LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69991,20.47605,0,252,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:31:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,252,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:33:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,252,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,254,326,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,254,326,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,254,326,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:41:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,271,326,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:43:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,271,326,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:45:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,271,326,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:47:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,226,326,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:49:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,226,326,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:51:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,226,326,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:53:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,255,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:55:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,255,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:57:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,255,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T11:59:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,341,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:01:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,341,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:03:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,341,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:05:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,356,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:07:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,356,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:09:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,356,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:11:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,316,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:13:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,316,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:15:04.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,316,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:17:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,134,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:19:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,134,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:21:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,134,327,7,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:23:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,161,327,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:25:04.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,161,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:27:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,161,327,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:29:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,101,328,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:31:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,161,328,2,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:33:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47606,0,161,328,4,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,172,328,3,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
54.69991,20.47605,0,172,328,5,KALININGRAD,GI,142,0,ARA ROTTERDAM,7,206635,18,129,9,10643,9,1,2016-12-13T12:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,1
