LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79797,18.88214,142,128,126,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T10:51:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79304,18.89282,143,127,126,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T10:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78785,18.90417,143,126,126,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T10:55:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78291,18.91489,142,127,127,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T10:57:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77799,18.92556,142,128,127,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T10:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77303,18.93625,144,129,127,1,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:01:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77303,18.93625,144,129,127,1,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:03:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76324,18.95762,143,127,126,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76079,18.96302,142,125,128,2,GDYNIA,NL,134,720,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75475,18.97023,130,165,169,1,GDYNIA,NL,134,720,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74688,18.96925,133,192,190,3,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73895,18.9663,138,191,190,3,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73128,18.96336,140,190,189,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72326,18.96036,142,192,190,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71555,18.95755,142,191,190,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70781,18.95473,143,191,189,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:21:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70002,18.95197,145,190,189,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:23:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69229,18.94926,143,190,190,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.68451,18.94663,143,190,190,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6767,18.94399,143,191,190,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:29:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66932,18.94015,139,204,203,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66221,18.93461,140,204,204,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:33:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.65505,18.92917,143,203,202,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.64779,18.92375,142,204,202,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:37:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.64062,18.91839,142,202,202,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.63347,18.91285,142,205,204,1,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:41:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.62586,18.90686,141,205,204,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:43:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61878,18.90126,142,205,204,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:45:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61878,18.90126,142,205,204,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:47:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61162,18.89556,142,205,203,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:49:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.59711,18.88422,140,204,204,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:51:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.59006,18.87841,136,210,211,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.58359,18.87074,136,219,221,2,GDYNIA,NL,134,0,ENFORCER,7,231568,21,125,19,9450,11,1,2016-12-16T11:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
