LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60184,11.66485,106,17,15,2,PASAJES,NL,89,-720,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:39:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61088,11.67229,109,29,29,1,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:41:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61351,11.6751,109,29,29,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:43:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61919,11.68127,109,30,30,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:45:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61919,11.68127,109,30,30,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:47:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.63065,11.69334,109,29,31,2,PASAJES,NL,89,720,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:49:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.63645,11.69901,109,26,25,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:51:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64187,11.70408,110,27,25,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:53:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64722,11.70947,109,38,42,2,PASAJES,NL,89,720,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:55:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65089,11.71927,107,68,72,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:57:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.6518,11.72457,109,71,70,3,PASAJES,NL,89,-720,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T07:59:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65391,11.73621,110,72,73,1,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T08:01:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65604,11.75,111,72,73,2,PASAJES,NL,89,0,SKAGENBANK,7,259232,14,76,5,4500,9,1,2016-12-19T08:03:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
