LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.64983,21.16149,0,91,286,4,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64983,21.16149,0,91,286,4,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64982,21.16147,0,91,286,1,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64982,21.16147,0,91,286,4,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:37:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64982,21.16147,0,91,286,6,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64983,21.16149,0,91,286,3,KLAIPEDA,NL,156,1,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64983,21.16149,0,91,286,5,KLAIPEDA,NL,156,1,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64981,21.16148,0,91,286,3,KLAIPEDA,NL,156,2,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64981,21.16148,0,91,286,5,KLAIPEDA,NL,156,2,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.6498,21.16145,0,91,286,3,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.6498,21.16145,0,91,286,4,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64984,21.16145,0,91,286,2,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64984,21.16145,0,91,286,4,KLAIPEDA,NL,156,0,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:55:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64985,21.16148,0,91,286,2,KLAIPEDA,NL,156,4,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64985,21.16148,0,91,286,4,KLAIPEDA,NL,156,4,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T11:59:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64985,21.16152,0,91,286,2,KLAIPEDA,NL,156,-2,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T12:01:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
55.64985,21.16152,0,91,286,4,KLAIPEDA,NL,156,-2,DIJKSGRACHT,7,263649,22,143,11,17381,9,1,2016-12-13T12:03:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Cargo,Klaipeda,1
