LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.78992,18.60778,100,123,121,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78992,18.60778,100,123,121,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:11:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78408,18.62313,100,123,121,3,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78074,18.63193,100,123,121,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77765,18.63997,100,124,121,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77437,18.64852,100,124,121,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77087,18.6581,100,122,120,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76773,18.66688,101,122,120,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76477,18.67513,100,122,120,2,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76308,18.67977,101,122,120,3,GDANSK,NL,82,0,THEA MARIEKE,7,265510,12,75,6,3149,9,1,2016-12-16T18:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
