LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.5491,18.98915,101,263,265,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:45:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54832,18.9778,101,261,262,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:47:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54752,18.96752,101,263,264,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:49:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54679,18.95804,101,260,263,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:51:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5461,18.94852,101,262,263,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:53:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5454,18.93823,102,263,263,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:55:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54466,18.92858,101,264,265,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:57:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54438,18.92369,101,264,263,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T19:59:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54395,18.91818,102,261,262,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:01:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54285,18.9021,101,264,263,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:03:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54216,18.89268,101,264,264,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:05:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54127,18.88143,101,265,265,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:07:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54055,18.87188,102,262,264,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:09:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53979,18.86131,101,263,266,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:11:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53917,18.85188,101,262,264,2,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:13:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53873,18.8462,101,262,266,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:15:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53809,18.83662,101,261,264,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:17:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53745,18.82715,101,264,267,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:19:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53673,18.81759,101,261,266,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:21:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53611,18.80799,102,263,265,3,GDANSK,NL,88,0,ALANA EVITA,7,268459,11,78,6,3261,9,1,2016-12-17T20:23:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
