LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.67171,20.80895,101,62,60,2,KLAIPEDA,NL,88,-720,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:41:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.67171,20.80895,101,62,60,2,KLAIPEDA,NL,88,-720,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:43:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.67673,20.82514,103,60,60,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:45:09.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.68019,20.83604,103,61,60,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:47:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.68204,20.84196,104,62,60,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:49:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.68204,20.84196,104,62,60,5,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:51:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.68204,20.84196,104,62,60,7,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:53:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.68204,20.84196,104,62,60,9,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:55:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.69443,20.88115,105,60,63,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:57:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.69599,20.88651,104,65,62,3,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T22:59:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.69953,20.89855,104,61,62,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T23:01:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.70111,20.90379,104,61,62,3,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T23:03:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.7047,20.91582,102,63,63,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T23:05:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.70779,20.92615,100,62,62,2,KLAIPEDA,NL,88,0,JADE,7,270798,11,71,10,3587,11,1,2016-12-14T23:07:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
