LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.38476,18.66141,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66139,0,318,38,4,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66143,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66144,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66144,0,318,38,4,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38473,18.66137,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38478,18.66146,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38478,18.66146,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66144,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38474,18.66141,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38474,18.66141,0,318,38,4,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38473,18.66142,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38472,18.6614,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38472,18.6614,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38474,18.66145,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38474,18.66145,0,318,38,4,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38475,18.66146,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38474,18.66145,0,318,38,3,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38476,18.66145,0,318,38,2,GDANSK,MT,142,0,BOGDAN,7,283730,22,111,15,13898,6,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
