LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.89584,30.22273,0,308,212,2,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89584,30.22273,0,308,212,2,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89584,30.22273,0,308,212,4,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89584,30.22273,0,308,212,4,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89583,30.22275,0,299,212,3,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89583,30.22275,0,299,212,3,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89588,30.22277,1,300,212,2,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89588,30.22277,1,300,212,2,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89588,30.22277,1,300,212,4,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89588,30.22277,1,300,212,4,SAINT PETERSBURG,MT,173,0,ATLANTIC RUNNER,7,284882,23,132,16,18731,12,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
