LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79802,18.69257,110,123,121,2,GDANSK,MT,87,-3,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79447,18.70097,105,121,122,2,GDANSK,MT,87,8,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79103,18.70921,107,127,120,2,GDANSK,MT,87,-8,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78751,18.71755,107,131,119,2,GDANSK,MT,87,-22,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:49:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78421,18.72549,102,123,123,2,GDANSK,MT,87,11,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:51:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78055,18.73414,103,123,122,2,GDANSK,MT,87,9,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77722,18.74221,103,123,123,2,GDANSK,MT,87,8,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:55:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77387,18.7502,102,123,123,2,GDANSK,MT,87,8,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77057,18.75793,99,127,122,2,GDANSK,MT,87,-1,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T18:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76867,18.76251,100,124,122,1,GDANSK,MT,87,-1,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76465,18.77207,100,126,122,2,GDANSK,MT,87,2,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76142,18.77996,100,127,123,2,GDANSK,MT,87,-4,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76142,18.77996,100,127,123,2,GDANSK,MT,87,-4,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75441,18.79573,101,128,127,2,GDANSK,MT,87,14,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75077,18.80324,101,132,127,2,GDANSK,MT,87,-4,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74709,18.81032,100,137,127,2,GDANSK,MT,87,-14,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74709,18.81032,100,137,127,2,GDANSK,MT,87,-14,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73917,18.82458,102,141,134,2,GDANSK,MT,87,-8,WILSON BILBAO,7,287761,12,74,5,3735,9,1,2016-12-14T19:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
