LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.68675,20.18858,76,271,272,2,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,0,2016-12-13T21:51:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68684,20.18381,73,272,271,3,RU KGD,MT,136,-5,NACC TORONTO,7,291621,21,116,14,13977,9,0,2016-12-13T21:53:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68609,20.17502,65,247,246,2,RU KGD,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,0,2016-12-13T21:55:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68419,20.16763,71,244,241,2,RU KGD,MT,136,-6,NACC TORONTO,7,291621,21,116,14,13977,9,0,2016-12-13T21:57:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68419,20.16763,71,244,241,2,RU KGD,MT,136,-6,NACC TORONTO,7,291621,21,116,14,13977,9,0,2016-12-13T21:59:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68306,20.16458,71,237,235,5,RU KGD,MT,136,-9,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:01:01.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68306,20.16458,71,237,235,7,RU KGD,MT,136,-9,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:03:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.67523,20.15063,61,223,225,3,RU KGD,MT,136,3,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:05:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.67085,20.14304,79,225,227,2,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:07:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66893,20.13946,82,227,227,3,RU KGD,MT,136,-4,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:09:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66462,20.13202,84,224,224,2,RU KGD,MT,136,2,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:11:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66088,20.12589,84,224,226,2,RU KGD,MT,136,6,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:13:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65892,20.12242,83,225,226,2,RU KGD,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:15:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65892,20.12242,83,225,226,4,RU KGD,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:17:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65299,20.10656,84,252,253,2,RU KGD,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:19:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65157,20.09793,90,254,255,1,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:21:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65071,20.09236,92,256,256,2,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:23:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64921,20.08153,92,256,254,1,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:25:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64856,20.07718,96,254,253,2,RU KGD,MT,136,2,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:27:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64657,20.06355,99,256,254,1,RU KGD,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:29:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64577,20.0582,98,255,253,2,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:31:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64577,20.0582,98,255,253,2,RU KGD,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:33:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64325,20.04092,97,255,253,2,FI RAA,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64167,20.03065,96,255,254,2,FI RAA,MT,136,1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64008,20.01942,96,255,256,2,FI RAA,MT,136,6,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63946,20.01345,95,262,262,2,FI RAA,MT,136,1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:41:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63875,20.00303,94,263,262,2,FI RAA,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:43:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63837,19.99768,97,262,261,3,FI RAA,MT,136,-3,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:45:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63837,19.99768,97,262,261,3,FI RAA,MT,136,-3,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:47:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6367,19.97577,87,262,262,2,FI RAA,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:49:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63629,19.97029,85,263,261,2,FI RAA,MT,136,2,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:51:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63555,19.95989,78,261,261,2,FI RAA,MT,136,5,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:53:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63507,19.95259,69,264,262,2,FI RAA,MT,136,4,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:55:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63464,19.94747,73,262,262,2,FI RAA,MT,136,1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:57:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63396,19.93875,84,262,260,2,FI RAA,MT,136,-1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T22:59:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63353,19.93347,86,262,262,3,FI RAA,MT,136,0,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T23:01:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63305,19.9266,87,262,262,3,FI RAA,MT,136,1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T23:03:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63305,19.9266,87,262,262,5,FI RAA,MT,136,1,NACC TORONTO,7,291621,21,116,14,13977,9,1,2016-12-13T23:05:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Cargo,Kalingrad,0
