LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79875,18.76379,91,129,123,2,GDANSK,BZ,89,35,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79604,18.77081,89,127,127,2,GDANSK,BZ,89,-14,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79313,18.77779,90,124,124,2,GDANSK,BZ,89,28,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79006,18.78541,89,125,123,2,GDANSK,BZ,89,-38,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78708,18.79241,89,125,123,2,GDANSK,BZ,89,16,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7842,18.79944,90,125,124,2,GDANSK,BZ,89,-24,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78132,18.8063,87,125,125,2,GDANSK,BZ,89,71,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77858,18.81311,87,127,125,2,GDANSK,BZ,89,-14,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77561,18.81972,85,134,126,2,GDANSK,BZ,89,-55,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:29:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7724,18.82699,91,130,129,2,GDANSK,BZ,89,68,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76958,18.834,90,126,126,2,GDANSK,BZ,89,-13,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76659,18.84097,90,128,125,2,GDANSK,BZ,89,-33,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76353,18.84789,90,126,125,2,GDANSK,BZ,89,-33,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76049,18.85462,90,128,127,2,GDANSK,BZ,89,-22,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75893,18.85805,90,126,124,3,GDANSK,BZ,89,-22,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75569,18.86573,92,123,121,2,GDANSK,BZ,89,0,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75276,18.87288,91,126,127,2,GDANSK,BZ,89,14,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7494,18.88043,89,126,125,2,GDANSK,BZ,89,99,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74643,18.88722,89,129,119,2,GDANSK,BZ,89,-64,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:49:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74353,18.89406,91,126,125,2,GDANSK,BZ,89,-4,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:51:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.74018,18.90166,91,128,123,2,GDANSK,BZ,89,-55,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73698,18.90914,88,130,127,2,GDANSK,BZ,89,-125,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73343,18.91667,85,128,125,2,GDANSK,BZ,89,-20,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72999,18.92313,89,152,166,2,GDANSK,BZ,89,24,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T16:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72734,18.92427,95,168,171,2,GDANSK,BZ,89,2,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72734,18.92427,95,168,171,2,GDANSK,BZ,89,2,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:03:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71667,18.92779,93,167,169,2,GDANSK,BZ,89,-8,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71142,18.92955,98,168,168,2,GDANSK,BZ,89,-9,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:07:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70557,18.93152,105,168,168,2,GDANSK,BZ,89,-9,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:09:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70028,18.93343,102,170,168,1,GDANSK,BZ,89,18,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.69403,18.93575,102,164,170,2,GDANSK,BZ,89,33,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68875,18.93762,100,168,170,2,GDANSK,BZ,89,-11,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68346,18.93969,97,163,170,2,GDANSK,BZ,89,26,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.67824,18.93966,94,188,193,2,GDANSK,BZ,89,9,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.6729,18.93839,99,188,191,2,GDANSK,BZ,89,-43,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.6729,18.93839,99,188,191,2,GDANSK,BZ,89,-43,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66235,18.93308,96,202,212,2,GDANSK,BZ,89,-28,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:25:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65778,18.92912,96,207,212,2,GDANSK,BZ,89,-58,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:27:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65276,18.92458,95,210,211,2,GDANSK,BZ,89,-4,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64775,18.92095,96,194,208,2,GDANSK,BZ,89,49,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64315,18.9172,95,204,208,2,GDANSK,BZ,89,33,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63808,18.91355,96,200,211,2,GDANSK,BZ,89,71,BALTIYSKIY-202,7,301169,13,70,1,2803,9,1,2016-12-14T17:35:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63341,18.90981,94,201,209,2,GDANSK,BZ,89,9,BALTIYSKIY-202,7,301169,13,75,10,2803,9,1,2016-12-14T17:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
