LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60447,11.66567,93,17,21,2,KARLSTAD V GOTEBORG,NO,83,10,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T09:55:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.60913,11.66997,94,29,27,2,KARLSTAD V GOTEBORG,NO,83,2,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T09:57:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.60913,11.66997,94,29,27,2,KARLSTAD V GOTEBORG,NO,83,2,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T09:59:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.61823,11.67964,94,28,27,2,KARLSTAD V GOTEBORG,NO,83,1,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:01:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.62275,11.68469,94,31,28,2,KARLSTAD V GOTEBORG,NO,83,3,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:03:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.6273,11.6897,96,30,28,2,KARLSTAD V GOTEBORG,NO,83,5,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:05:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.63175,11.69477,96,30,28,2,KARLSTAD V GOTEBORG,NO,83,0,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:07:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.63639,11.6997,96,27,25,2,KARLSTAD V GOTEBORG,NO,83,3,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:09:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.64203,11.70471,96,22,21,2,KARLSTAD V GOTEBORG,NO,83,8,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:11:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
57.64737,11.70919,90,36,44,2,KARLSTAD V GOTEBORG,NO,83,5,DANUBIA,7,312793,11,73,5,2550,9,1,2016-12-17T10:13:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Cargo,gothenborg,0
