LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.89029,30.2232,0,295,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,0,295,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,1,117,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,1,117,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,1,117,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,1,117,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,1,147,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,1,147,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,9,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,9,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,9,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,9,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,214,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,214,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,134,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,134,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,134,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.22319,0,134,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,0,170,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89029,30.2232,0,170,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,277,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,277,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,277,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,277,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,0,257,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:55:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,0,257,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:55:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,226,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,226,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,226,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,226,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,0,328,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,0,328,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:01:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89027,30.2232,0,153,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:03:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,0,328,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:03:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89027,30.2232,0,153,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:05:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89027,30.2232,0,153,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,322,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:07:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,322,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,1,1,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:09:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,1,1,32,2,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,1,1,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.22319,1,1,32,4,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,328,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:13:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.89028,30.2232,0,328,32,3,SHIFTING TO PLP,LR,169,0,REINBEK,7,3162,27,159,0,15952,11,1,2016-12-13T12:13:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
