LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.7957,18.87435,114,129,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:31:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78931,18.88759,113,129,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78524,18.896,114,130,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:35:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78285,18.90089,114,129,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:37:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78285,18.90089,114,129,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:39:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77477,18.91757,113,130,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:41:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77038,18.92667,113,130,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:43:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76635,18.93503,113,129,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:45:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76237,18.94343,113,130,130,2,GDYNIA,SE,90,0,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:47:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75792,18.95126,111,141,143,2,GDYNIA,SE,90,720,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:49:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75236,18.95676,112,157,159,2,GDYNIA,SE,90,720,VASTANVIK,7,319974,13,57,7,3019,70,1,2016-12-19T03:51:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
