LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.92043,11.60793,91,70,69,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:39:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92043,11.60793,91,70,69,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:41:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92312,11.62362,91,76,79,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:43:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92407,11.63363,89,78,79,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:45:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92512,11.6442,89,79,79,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:47:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92627,11.65342,90,72,70,2,SE UDO,DK,80,-720,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:49:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.92827,11.66202,92,61,62,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:51:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.9311,11.67108,93,52,48,1,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:53:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.93313,11.67512,92,39,38,3,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:55:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.93772,11.68233,93,37,38,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:57:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.94115,11.68727,92,36,37,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T14:59:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.94627,11.69467,93,37,35,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T15:01:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.95053,11.70028,93,35,36,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T15:03:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
57.95468,11.70588,93,35,35,2,SE UDO,DK,80,0,AMANDA,7,153800,11,60,5,1795,9,1,2016-12-18T15:05:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Cargo,gothenborg,0
