LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.74933,18.993,205,203,203,2,GDYNIA,SE,195,-2,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:15:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7385,18.98467,205,204,204,1,GDYNIA,SE,195,0,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:17:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73167,18.9795,206,205,204,2,GDYNIA,SE,195,0,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:19:03.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72133,18.97167,205,204,204,2,GDYNIA,SE,195,-3,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:21:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70774,18.96139,205,203,203,2,GDYNIA,SE,195,0,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:23:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70167,18.957,204,203,204,2,GDYNIA,SE,195,-3,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:25:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69,18.9485,203,202,202,2,GDYNIA,SE,195,-4,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:27:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6795,18.94067,205,204,203,2,GDYNIA,SE,195,6,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:29:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66767,18.93217,206,202,203,2,GDYNIA,SE,195,3,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:31:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6555,18.92367,205,203,203,2,GDYNIA,SE,195,-2,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:33:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.64983,18.91933,205,203,204,2,GDYNIA,SE,195,0,STENA FORERUNNER,7,326898,26,24,4,12300,12,1,2016-12-18T06:35:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
