LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60233,11.61917,129,87,90,2,SE GOT,SE,227,-1,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:01:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60266,11.6335,130,87,90,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:03:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60383,11.64633,124,68,69,2,SE GOT,SE,227,-4,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:05:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.60751,11.65732,122,46,45,2,SE GOT,SE,227,-9,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:07:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.61312,11.66644,128,39,40,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:09:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.61867,11.675,131,39,41,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.6245,11.68333,131,34,34,2,SE GOT,SE,227,-4,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:13:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.63066,11.69083,133,32,32,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:15:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.63717,11.69733,133,23,24,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.64109,11.70051,134,22,24,3,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:19:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.64758,11.70729,132,41,44,3,SE GOT,SE,227,20,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:21:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.65182,11.72162,127,71,73,2,SE GOT,SE,227,2,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:23:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.65392,11.73433,129,73,73,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.65599,11.74724,130,74,74,2,SE GOT,SE,227,1,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:27:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.658,11.76013,127,73,74,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.66048,11.7719,112,56,55,2,SE GOT,SE,227,-8,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.6645,11.78117,110,47,47,2,SE GOT,SE,227,-1,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:33:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.66667,11.78533,108,47,48,3,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:35:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.67233,11.79667,95,46,48,2,SE GOT,SE,227,0,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.67583,11.804,93,51,52,2,SE GOT,SE,227,6,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.67583,11.804,93,51,52,2,SE GOT,SE,227,6,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:39:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.6785,11.812,90,66,66,2,SE GOT,SE,227,11,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.6785,11.812,90,66,66,2,SE GOT,SE,227,11,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:41:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
57.67999,11.8204,79,74,74,2,SE GOT,SE,227,2,FAUST,7,327293,32,45,9,18700,12,1,2016-12-14T21:43:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Cargo,gothenborg,0
