LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.61559,11.6051,107,98,99,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:35:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61468,11.61825,108,99,100,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:37:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61423,11.63053,112,91,94,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:39:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61419,11.63912,114,92,92,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:41:04.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61441,11.6529,115,86,85,2,LIDKOPING,NL,82,-720,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:43:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61537,11.65973,116,64,62,2,LIDKOPING,NL,82,-720,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:45:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.61899,11.66965,117,52,56,3,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:47:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.62548,11.68177,120,33,36,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:49:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.62915,11.68618,120,28,27,3,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:51:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.63561,11.69232,121,29,28,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:53:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.6416,11.69805,122,27,29,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:55:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.64837,11.70667,115,53,59,2,LIDKOPING,NL,82,720,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:57:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.64979,11.71182,113,70,70,3,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T03:59:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.655,11.7413,117,73,72,1,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:02:20.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.655,11.7413,117,73,72,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:03:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.65627,11.74885,111,72,73,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:05:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.65797,11.75928,104,72,72,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:07:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.65797,11.75928,104,72,72,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:09:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.66282,11.77757,74,52,50,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:11:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
57.66539,11.78288,55,47,48,2,LIDKOPING,NL,82,0,ASPEN,7,3350779,12,73,9,3159,9,1,2016-12-16T04:13:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Cargo,gothenborg,0
