LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.37915,18.66178,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66176,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.66161,0,339,171,3,PLGDN,RU,119,709,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37914,18.66143,0,339,171,2,PLGDN,RU,119,709,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37914,18.66143,0,339,171,4,PLGDN,RU,119,709,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66186,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3791,18.66177,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3791,18.66177,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37889,18.66142,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66172,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66172,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.66184,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66185,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66185,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.66183,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.66183,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37925,18.66169,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37925,18.66183,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37926,18.66181,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37926,18.66181,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66183,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37918,18.66187,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37918,18.66187,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.6619,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37919,18.66191,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37919,18.66191,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37922,18.66184,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66181,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37917,18.66181,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37919,18.6618,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37924,18.66182,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37924,18.66182,0,339,171,4,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.37927,18.66191,0,339,171,3,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3793,18.66187,0,339,171,2,PLGDN,RU,119,0,SORMOVSKIY-3055,7,345789,13,93,11,3804,9,0,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
