LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.68464,20.16972,72,248,248,2,PALDISKI,RU,119,-1,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,0,2016-12-15T11:23:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68357,20.16554,71,241,236,2,PALDISKI,RU,119,-9,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:25:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.68201,20.16193,71,227,225,3,PALDISKI,RU,119,-2,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:27:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.67618,20.15191,80,223,224,3,PALDISKI,RU,119,2,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,0,2016-12-15T11:31:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.67291,20.14648,82,224,225,3,PALDISKI,RU,119,-1,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:33:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66857,20.13923,82,224,225,2,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:35:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,3,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:37:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,5,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,0,2016-12-15T11:39:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,15,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,17,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:51:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,19,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:53:04.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,21,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:55:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,23,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:57:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,25,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T11:59:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,27,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:01:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,29,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:03:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,31,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:05:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,33,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:07:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,35,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:09:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6664,20.13557,82,225,226,37,PALDISKI,RU,119,0,SORMOVSKIY-3058,7,346084,13,93,8,3853,9,1,2016-12-15T12:11:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
