LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.66767,19.81017,83,119,119,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:05:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66767,19.81017,83,119,119,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:07:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.664,19.82133,46,123,123,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:09:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66333,19.823,42,122,122,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:11:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66267,19.827,28,96,93,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:13:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66333,19.831,51,54,47,2,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:15:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66633,19.83117,63,336,323,2,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:17:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6675,19.828,59,292,282,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:19:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66867,19.82067,57,283,281,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:21:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66867,19.82067,57,283,281,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:23:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66867,19.82067,57,283,281,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:25:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.67017,19.80883,38,282,281,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:27:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6705,19.807,37,283,283,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:29:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6705,19.802,41,248,238,2,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:31:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6685,19.80083,44,168,157,2,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:33:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6685,19.80083,44,168,157,4,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:35:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66617,19.807,78,112,111,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:37:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66617,19.807,78,112,111,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:39:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.66617,19.807,78,112,111,7,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:41:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65633,19.84583,123,121,123,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:43:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.65633,19.84583,123,121,123,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:45:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6485,19.86683,120,124,127,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:47:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.646,19.87117,107,139,139,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.64417,19.874,89,137,137,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:51:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63933,19.882,79,135,136,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:53:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63933,19.882,79,135,136,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:55:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63383,19.892,79,126,123,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:57:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63267,19.89983,79,94,93,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T08:59:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63283,19.90933,57,88,89,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:01:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.633,19.9115,44,80,79,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:03:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.6335,19.91433,24,78,74,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:05:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63383,19.91617,17,49,57,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:07:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63383,19.91617,17,49,57,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:09:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63383,19.91433,17,259,325,3,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:11:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63334,19.914,15,173,280,3,BALTIYSK<->UST-LUGA,RU,189,-720,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:13:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63317,19.91617,20,88,275,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:15:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.633,19.91767,17,102,268,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:17:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63317,19.91838,7,86,254,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:19:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63317,19.91838,7,86,254,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:21:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,0
54.63361,19.91979,4,59,247,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:23:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63361,19.91979,4,59,247,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:25:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63373,19.92024,2,99,248,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:27:04.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63373,19.92024,2,99,248,4,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:29:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63373,19.92024,2,99,248,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:31:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63367,19.92083,1,64,247,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:33:04.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63367,19.92083,1,64,247,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:35:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63383,19.921,0,86,247,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:37:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63383,19.921,0,86,247,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:39:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63383,19.921,0,86,247,7,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:41:05.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.6339,19.92084,0,306,247,3,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:43:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.6339,19.92084,0,306,247,5,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:45:04.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
54.63392,19.92082,0,334,247,2,BALTIYSK<->UST-LUGA,RU,189,0,AMBAL,7,348527,22,36,11,10000,12,1,2016-12-15T09:47:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Cargo,Kalingrad,1
