LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92063,30.00505,90,111,111,1,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:21:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91959,30.01033,89,111,111,2,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:23:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91959,30.01033,89,111,111,2,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:23:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9176,30.02021,86,112,111,2,ST PETERSBURG,RU,128,-1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:25:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9176,30.02021,86,112,111,2,ST PETERSBURG,RU,128,-1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:25:05.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91581,30.02898,86,111,111,2,ST PETERSBURG,RU,128,0,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:27:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91581,30.02898,86,111,111,2,ST PETERSBURG,RU,128,0,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:27:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91383,30.03884,90,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:29:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91383,30.03884,90,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:29:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91154,30.04995,97,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:31:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91154,30.04995,97,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:31:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91037,30.05585,100,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:33:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91037,30.05585,100,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:33:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90793,30.06792,102,111,111,2,ST PETERSBURG,RU,128,0,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:35:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90793,30.06792,102,111,111,2,ST PETERSBURG,RU,128,0,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:35:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90579,30.07841,102,112,111,2,ST PETERSBURG,RU,128,-2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:37:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90687,30.07317,102,111,111,1,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:37:05.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90361,30.08928,93,111,111,2,ST PETERSBURG,RU,128,2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:39:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90361,30.08928,93,111,111,2,ST PETERSBURG,RU,128,2,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:39:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90167,30.09873,78,112,111,2,ST PETERSBURG,RU,128,-1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:41:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90167,30.09873,78,112,111,2,ST PETERSBURG,RU,128,-1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:41:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90015,30.10636,73,111,111,2,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:43:03.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90015,30.10636,73,111,111,2,ST PETERSBURG,RU,128,1,GEOR.POBEDONOSETS,7,348607,16,120,7,5440,9,1,2016-12-19T04:43:04.000Z,st_petersburg,2016-12-19T00:00:00.000Z,51,Cargo,St. Petersburg,0
