LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.73169,20.80107,140,95,91,2,KLAIPEDA,LT,162,-1,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:17:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.7313,20.817,141,95,91,2,KLAIPEDA,LT,162,-9,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:19:05.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73091,20.8328,139,91,91,2,KLAIPEDA,LT,162,2,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:21:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73054,20.84784,140,91,91,2,KLAIPEDA,LT,162,-9,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:23:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73038,20.85541,139,91,91,3,KLAIPEDA,LT,162,6,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:25:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73017,20.86992,140,93,91,2,KLAIPEDA,LT,162,3,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:27:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73,20.8858,141,90,91,2,KLAIPEDA,LT,162,0,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:29:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72985,20.90166,140,93,93,2,KLAIPEDA,LT,162,-3,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:31:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72947,20.91688,141,91,92,2,KLAIPEDA,LT,162,-3,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:33:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72931,20.92449,142,91,92,3,KLAIPEDA,LT,162,1,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:35:05.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72895,20.94021,141,91,92,2,KLAIPEDA,LT,162,0,BOTNIA SEAWAYS,7,353499,20,17,14,8702,12,1,2016-12-15T01:37:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Cargo,Klaipeda,0
