LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79109,18.60041,85,121,120,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:43:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78864,18.60739,85,121,121,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78617,18.61437,85,121,121,2,GDANSK,AG,80,720,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7835,18.62192,86,121,121,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78101,18.62894,86,121,121,2,GDANSK,AG,80,720,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77975,18.63242,86,121,121,3,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77725,18.63939,85,121,120,3,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77433,18.6476,85,121,121,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77169,18.65523,86,121,121,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T18:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77007,18.65994,86,120,121,2,GDANSK,AG,80,720,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T19:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76636,18.67055,86,121,121,2,GDANSK,AG,80,0,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T19:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76388,18.67758,86,121,120,1,GDANSK,AG,80,-720,WIEBKE D,7,359605,11,64,7,1795,9,1,2016-12-15T19:05:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
