LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79042,18.6025,93,121,123,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78752,18.61065,94,122,123,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78475,18.6183,94,122,122,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7813,18.62778,94,122,122,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77948,18.63292,94,121,123,2,GDANSK,AG,73,720,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:29:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77652,18.64122,94,121,123,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7738,18.6489,94,121,122,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:33:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7738,18.6489,94,121,122,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76825,18.66425,94,122,121,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:37:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76552,18.67198,95,121,121,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76233,18.6811,95,121,119,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:41:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76075,18.68567,95,120,120,3,GDANSK,AG,73,720,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:43:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75757,18.69497,95,120,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:45:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75437,18.70398,96,123,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:47:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75157,18.71182,95,122,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:49:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74878,18.71958,96,122,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:51:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74543,18.72888,96,122,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74387,18.73335,96,122,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7411,18.74127,97,121,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:57:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73812,18.74997,97,120,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T02:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73518,18.7587,97,120,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:01:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7325,18.76672,97,120,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72983,18.77477,97,119,119,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72718,18.78285,97,120,119,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72448,18.79087,97,120,120,2,GDANSK,AG,73,720,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72168,18.79888,98,122,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71887,18.80693,98,121,120,2,GDANSK,AG,73,0,LISA D,7,361457,11,60,3,1685,9,1,2016-12-16T03:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
