LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.38647,18.67165,0,337,161,3,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38647,18.67165,0,337,161,3,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38647,18.67163,0,337,161,2,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38647,18.67163,0,337,161,4,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38647,18.67163,0,337,161,4,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:35:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67163,0,337,161,1,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67163,0,337,161,1,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:39:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67164,0,337,162,2,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67164,0,337,161,1,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67164,0,337,161,3,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
54.38649,18.67164,0,337,161,2,GDANSK,AG,86,0,MARNE,7,361900,12,70,8,3539,9,1,2016-12-13T14:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,1
