LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.72142,20.80125,87,72,90,2,KLAIPEDA,AG,91,10,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T19:57:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72142,20.80125,87,72,90,2,KLAIPEDA,AG,91,10,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T19:59:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72172,20.81642,87,73,91,2,KLAIPEDA,AG,91,61,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:01:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72177,20.82187,85,94,85,3,KLAIPEDA,AG,91,43,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:03:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.722,20.83153,85,94,89,2,KLAIPEDA,AG,91,64,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:05:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72208,20.83633,86,90,88,3,KLAIPEDA,AG,91,-38,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:07:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72233,20.8488,86,90,85,2,KLAIPEDA,AG,91,-49,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:09:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72248,20.85428,87,86,92,2,KLAIPEDA,AG,91,-86,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:11:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72263,20.86482,86,103,87,2,KLAIPEDA,AG,91,-55,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:13:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72295,20.87443,86,85,90,2,KLAIPEDA,AG,91,22,FRIGGA,7,362551,13,82,11,4216,9,1,2016-12-14T20:15:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
