LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.7975,18.63183,118,123,122,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7935,18.642,119,122,122,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78967,18.6515,120,123,122,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.786,18.661,119,121,122,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78433,18.66583,119,123,122,3,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78033,18.67617,118,125,122,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.7765,18.68633,117,124,123,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77483,18.691,117,125,123,3,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:29:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76217,18.72367,117,124,125,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:35:04.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.739,18.7785,116,126,125,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73133,18.7965,115,126,123,2,GDYNIA,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T02:51:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.532,18.61033,130,96,92,3,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53133,18.62917,133,94,90,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53133,18.62917,133,94,90,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:07:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52934,18.6545,134,100,97,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:09:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.528,18.667,136,104,101,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52633,18.6795,136,102,97,2,TEESPORT,AG,101,-720,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52517,18.69217,133,95,91,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52517,18.6985,131,85,81,3,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52633,18.71183,132,82,80,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:19:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.52717,18.72433,132,84,82,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:21:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.528,18.73683,130,85,83,2,TEESPORT,AG,101,0,MARIS,7,362969,18,92,16,5325,11,1,2016-12-14T23:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
