LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.73333,20.81017,95,63,66,2,LTKLJ,AG,101,35,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:39:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73483,20.81567,96,63,65,3,LTKLJ,AG,101,18,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:41:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73717,20.826,99,59,80,2,LTKLJ,AG,101,121,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:43:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73717,20.837,100,91,96,2,LTKLJ,AG,101,35,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:45:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73667,20.8435,100,90,96,3,LTKLJ,AG,101,10,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:47:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.736,20.85417,100,93,94,2,LTKLJ,AG,101,16,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:49:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73517,20.86483,100,102,95,2,LTKLJ,AG,101,-79,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:51:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73433,20.877,102,95,94,2,LTKLJ,AG,101,-14,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:53:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.734,20.88283,103,98,95,2,LTKLJ,AG,101,3,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:55:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73317,20.89567,94,88,93,2,LTKLJ,AG,101,28,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:57:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73317,20.89567,94,88,93,4,LTKLJ,AG,101,28,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T20:59:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.732,20.913,92,94,94,2,LTKLJ,AG,101,18,BF VICTORIA,7,363434,18,91,14,5200,11,1,2016-12-14T21:01:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
