LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92067,30.00535,91,111,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:23:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91864,30.01553,91,111,111,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:25:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91864,30.01553,91,111,111,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:25:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9165,30.0262,89,112,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:27:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9165,30.0262,89,112,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:27:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9145,30.03602,89,112,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:29:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9145,30.03602,89,112,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:29:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91251,30.04595,93,112,112,1,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:31:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91251,30.04595,93,112,112,1,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:31:05.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91121,30.05198,95,111,111,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:33:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91251,30.04595,93,112,112,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:33:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90938,30.0614,97,111,111,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:35:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90938,30.0614,97,111,111,2,ST.PETERSBURG,AG,89,0,FEHN POLLUX,7,364663,13,80,4,4250,9,1,2016-12-20T05:35:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
