LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79177,18.88151,160,130,130,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78586,18.89297,160,130,128,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77971,18.90532,162,133,128,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.77699,18.91143,161,127,129,3,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76842,18.92929,161,130,132,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:45:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.76273,18.94098,159,126,130,2,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75695,18.95252,158,125,125,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:49:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75115,18.96425,161,131,127,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:51:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.75115,18.96425,161,131,127,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.73822,18.9864,161,152,158,2,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72943,18.98878,161,183,192,2,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.72121,18.98249,159,208,205,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T10:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.71314,18.97592,161,209,211,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70512,18.96898,164,205,210,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.70512,18.96898,164,205,210,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:05:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68893,18.95473,164,205,207,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68479,18.95132,166,206,208,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.68479,18.95132,166,206,208,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66798,18.93716,164,205,210,2,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:13:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65977,18.93013,163,204,207,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65172,18.92316,163,205,207,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64355,18.91626,164,204,204,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63537,18.90965,164,204,208,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63537,18.90965,164,204,208,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.61857,18.896,163,203,205,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.61051,18.88893,163,204,205,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.60234,18.88186,165,209,207,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.59409,18.87481,167,209,210,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:31:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.58622,18.86627,167,217,221,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.57924,18.85604,167,218,220,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.57194,18.84494,167,220,219,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.56492,18.83424,168,222,219,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.55799,18.82366,167,223,220,2,GDYNIA,AG,154,-720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.55799,18.82366,167,223,220,2,GDYNIA,AG,154,-720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.54758,18.80793,166,220,218,1,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53768,18.79168,166,230,236,2,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53403,18.77749,161,258,265,1,GDYNIA,AG,154,720,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:49:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53442,18.76108,160,276,276,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:51:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53534,18.7459,157,278,280,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53605,18.73224,128,270,272,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53625,18.72129,119,272,272,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:57:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53643,18.7092,116,271,271,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T11:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5364,18.69862,104,268,269,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:01:09.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5364,18.69862,104,268,269,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53615,18.68679,70,267,270,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53585,18.67805,57,265,271,1,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:07:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53568,18.67286,52,267,275,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53558,18.66808,50,268,275,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5355,18.66315,56,268,271,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53517,18.65701,68,259,263,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53446,18.65031,74,258,266,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53405,18.64274,72,269,276,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53417,18.63574,76,273,278,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:21:03.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53417,18.63574,76,273,278,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5348,18.61778,102,269,272,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53487,18.60788,104,272,277,2,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5351,18.60293,105,275,279,3,GDYNIA,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-14T12:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53498,18.60588,110,91,93,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53485,18.61298,112,91,93,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53427,18.6258,118,96,97,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:07:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53352,18.63721,121,97,97,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53275,18.64876,122,97,97,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53178,18.66237,122,97,97,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53178,18.66237,122,97,97,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:15:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53013,18.68851,156,92,91,2,BREMERHAVEN VIA NOK,AG,154,0,ALEXANDER B,7,365485,24,140,12,18530,11,1,2016-12-16T02:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
