LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.799,18.99783,130,196,196,3,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T00:51:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.792,18.99417,130,196,195,3,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T00:53:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7845,18.99033,129,196,195,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T00:55:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.777,18.9865,130,197,196,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T00:57:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77,18.98267,130,197,195,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T00:59:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7625,18.97867,130,197,196,2,GDYNIA,BM,216,9,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:01:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7545,18.97417,130,197,196,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:03:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7475,18.97033,130,197,196,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:05:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74417,18.9685,129,198,196,3,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:07:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.737,18.9645,121,198,196,1,GDYNIA,BM,216,-2,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:09:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73067,18.961,117,197,196,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:11:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.724,18.95733,116,198,194,2,GDYNIA,BM,216,-3,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:13:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71733,18.9545,113,190,190,2,GDYNIA,BM,216,2,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:15:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.711,18.95183,114,194,191,2,GDYNIA,BM,216,-6,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:17:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70383,18.94917,114,189,188,1,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:19:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6975,18.9475,114,189,189,2,GDYNIA,BM,216,2,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:21:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69117,18.94583,114,185,188,2,GDYNIA,BM,216,5,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:23:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.685,18.94367,114,195,195,2,GDYNIA,BM,216,0,MILAN EXPRESS,7,371109,32,168,10,33659,11,1,2016-12-17T01:25:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
