LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.39949,18.68245,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68242,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68242,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:17:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,5,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68243,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68243,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68243,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:29:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39948,18.68244,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39948,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39948,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68243,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68243,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68246,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68245,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:45:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68246,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:49:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:51:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68243,0,22,204,5,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68243,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.6824,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T10:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68242,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68242,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68242,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:05:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68247,0,22,204,5,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68247,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68247,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68245,0,22,204,5,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:13:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68245,0,22,204,7,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68245,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68244,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68244,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68244,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68246,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:31:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68246,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68244,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39948,18.68243,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39948,18.68243,0,22,204,4,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68242,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68242,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39949,18.68242,0,22,204,2,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.3995,18.68242,0,22,204,3,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
54.39951,18.68244,0,22,204,1,GDANSK,BS,189,0,JUNO,7,373303,23,166,17,30000,6,1,2016-12-14T11:49:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Cargo,Gdańsk,1
