LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.9166,11.61143,104,106,107,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:41:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.91565,11.61768,108,105,106,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:43:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.91439,11.62988,110,88,80,2,STENUNGSUND,NL,89,-720,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:45:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.91712,11.64063,109,53,52,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:47:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.92147,11.65062,116,48,48,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:49:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.92599,11.65993,122,49,49,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:51:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.93039,11.67113,126,55,55,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:53:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.93475,11.68137,124,38,36,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:55:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.94021,11.6891,123,37,34,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:57:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.94485,11.69522,123,35,35,1,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T05:59:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.9495,11.70127,124,33,34,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:01:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.95528,11.70855,125,33,34,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:03:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.96105,11.71582,126,34,34,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:05:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.96723,11.7239,126,36,38,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:07:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.97283,11.73345,125,43,44,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:09:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.97833,11.74303,125,37,35,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:11:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.98425,11.75003,125,31,31,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:13:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
57.99721,11.76468,126,31,31,2,STENUNGSUND,NL,89,0,HELGE,7,37523,13,69,7,5000,9,1,2016-12-20T06:17:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Cargo,gothenborg,0
