LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92087,30.00474,88,111,109,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:47:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.92087,30.00474,88,111,109,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:47:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91999,30.00919,86,111,110,3,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:49:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91999,30.00919,86,111,110,3,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:49:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91817,30.01853,81,111,109,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:51:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91817,30.01853,81,111,109,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:51:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91625,30.02807,79,111,110,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:53:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91625,30.02807,79,111,110,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:53:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91456,30.03649,85,112,110,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:55:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91456,30.03649,85,112,110,2,ST PETERSBURG,BZ,90,0,MIKHAIL DUDIN,7,376495,13,77,2,3030,9,1,2016-12-15T03:55:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
