LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.73314,20.81371,58,91,92,1,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T04:53:13.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73317,20.81706,59,91,94,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T04:55:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73317,20.82432,59,88,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T04:57:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73317,20.82432,59,88,95,3,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T04:59:07.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73295,20.83637,58,92,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:01:04.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73288,20.83973,58,92,96,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:03:07.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73288,20.83973,58,92,96,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:05:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.7325,20.85386,60,91,96,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:07:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73236,20.85773,59,93,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:09:15.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73236,20.85773,59,93,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:11:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73199,20.87113,57,93,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:13:13.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73199,20.87113,57,93,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:15:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73166,20.88068,54,91,96,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:17:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73141,20.88726,53,92,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:19:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73129,20.89039,54,91,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:21:13.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73104,20.89677,49,93,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:23:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73091,20.89982,46,92,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:25:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73069,20.90517,41,95,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:27:07.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73049,20.91035,38,92,95,1,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:29:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73049,20.91035,38,92,95,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:31:07.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73034,20.91529,39,94,96,3,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:33:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.73013,20.92033,38,96,97,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:35:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.72997,20.92492,38,90,92,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:37:06.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
55.72995,20.92712,38,91,96,2,LT KLJ,VC,63,0,AGOT,7,377957,11,51,10,1150,134,1,2016-12-20T05:39:05.000Z,klaipeda,2016-12-20T00:00:00.000Z,51,Cargo,Klaipeda,0
