LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.72888,20.80742,89,82,80,2,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:27:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.7293,20.81394,89,83,81,1,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:29:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72962,20.81887,90,81,80,3,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:31:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.7305,20.83133,91,82,81,2,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:33:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73085,20.83647,90,83,80,3,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:35:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73104,20.84967,90,93,93,2,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:37:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73053,20.8603,93,94,91,2,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:39:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73034,20.86636,92,93,90,2,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:41:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.73003,20.87692,94,94,91,2,KLAIPEDA,DM,93,720,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:43:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
55.72985,20.88306,94,93,90,3,KLAIPEDA,DM,93,0,GREEN ATLANTIC,7,388399,16,79,5,3073,21,1,2016-12-14T19:45:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Cargo,Klaipeda,0
