LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79958,18.91207,176,130,130,2,GDYNIA,PA,294,-1,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T06:57:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79175,18.92808,176,130,130,2,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T06:59:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78417,18.9435,176,130,130,2,GDYNIA,PA,294,3,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:01:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78001,18.95192,175,130,130,2,GDYNIA,PA,294,-3,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:03:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77595,18.96011,175,130,131,3,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:05:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76498,18.97732,169,159,170,2,GDYNIA,PA,294,20,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:07:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75508,18.97674,164,194,196,2,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:09:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74984,18.97408,168,197,196,2,GDYNIA,PA,294,-1,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:11:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73796,18.96796,173,197,196,2,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:13:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72829,18.96294,174,196,196,2,GDYNIA,PA,294,-1,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:15:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71904,18.95822,174,196,195,2,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:17:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70975,18.95353,174,196,196,2,GDYNIA,PA,294,-3,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:19:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7051,18.95123,174,195,195,3,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:21:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69397,18.94569,174,195,196,2,GDYNIA,PA,294,-2,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:23:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.68338,18.94044,174,200,202,2,GDYNIA,PA,294,1,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:25:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.67218,18.93276,174,202,202,2,GDYNIA,PA,294,-1,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:27:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66718,18.92931,174,202,202,2,GDYNIA,PA,294,-3,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:29:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66145,18.92534,174,201,202,2,GDYNIA,PA,294,0,MSC MATILDE,7,412843,32,232,16,67615,11,1,2016-12-17T07:31:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Cargo,Gdańsk,0
