LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60513,11.66143,123,31,30,1,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:07:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61103,11.66812,125,31,29,1,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:09:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.61455,11.67214,125,31,30,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:11:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.62055,11.679,126,31,30,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:13:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.62704,11.68655,128,32,25,2,GOTHENBURG,PA,316,-720,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:15:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.62704,11.68655,128,32,25,2,GOTHENBURG,PA,316,-720,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:17:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64064,11.69088,120,357,354,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:19:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.64735,11.69016,123,357,354,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:21:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65022,11.68983,123,356,354,1,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:23:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.65818,11.68873,124,355,359,1,GOTHENBURG,PA,316,720,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:25:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.66779,11.69284,118,28,33,2,GOTHENBURG,PA,316,720,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:27:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67264,11.70066,114,51,55,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:29:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67607,11.71273,112,72,78,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:31:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67607,11.71273,112,72,78,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:33:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67667,11.72591,110,93,96,1,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:35:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67627,11.74667,110,84,83,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:37:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67627,11.74667,110,84,83,4,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:39:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67749,11.76456,97,82,83,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:41:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67816,11.77401,90,82,83,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:43:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67878,11.78284,84,82,84,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:45:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67916,11.79123,79,87,88,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:47:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67939,11.79931,77,87,87,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:49:13.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67976,11.80855,76,83,83,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:51:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.67976,11.80855,76,83,83,2,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:51:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
57.68016,11.81375,75,81,82,3,GOTHENBURG,PA,316,0,SEROJA EMPAT,7,418949,45,227,31,90488,11,1,2016-12-19T22:53:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Cargo,gothenborg,0
