LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92066,30.00638,121,110,112,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:15:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92066,30.00638,121,110,112,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:15:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92066,30.00638,121,110,112,4,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:17:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92066,30.00638,121,110,112,4,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:17:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91663,30.02644,114,111,113,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:19:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91663,30.02644,114,111,113,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:19:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91402,30.03903,116,114,113,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:21:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91402,30.03903,116,114,113,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:21:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91131,30.05207,119,113,114,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:23:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91131,30.05207,119,113,114,2,ST. PETERSBURG,PA,207,0,NIKOLAS,7,420706,30,170,12,32391,11,1,2016-12-18T02:23:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
