LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69843,18.99766,119,243,244,3,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69443,18.9842,118,243,245,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69116,18.97331,118,239,241,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69116,18.97331,118,239,241,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:15:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.68227,18.95636,118,216,214,2,GDANSK,PA,77,-720,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.67589,18.94947,116,214,215,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:19:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.67039,18.94347,117,208,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66456,18.93867,116,204,206,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.65874,18.93392,116,203,205,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.65587,18.93143,116,208,210,3,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6491,18.9258,115,207,209,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:29:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6433,18.921,115,206,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.63642,18.9154,116,205,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:33:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.63642,18.9154,116,205,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.62384,18.90533,115,204,206,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:37:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61803,18.90052,116,205,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61403,18.89721,118,205,206,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:41:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.60671,18.89112,119,206,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:43:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6032,18.88811,119,206,207,3,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:45:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.59623,18.88223,119,206,207,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:47:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.58909,18.8755,114,218,222,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:49:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.58353,18.86831,115,222,223,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:51:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.57881,18.86085,115,223,223,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.57389,18.85354,116,221,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5689,18.84643,116,218,219,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:57:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.56402,18.83919,116,221,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T02:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.55915,18.83181,117,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:01:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.55426,18.82446,116,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54931,18.81716,117,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54442,18.80981,116,221,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54195,18.80616,116,220,220,3,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5366,18.79837,116,220,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53139,18.79049,114,221,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52661,18.78335,114,220,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52188,18.77614,117,221,221,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.51686,18.76857,118,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5119,18.761,119,221,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.50692,18.75343,119,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.50108,18.74476,120,220,220,2,GDANSK,PA,77,0,SILVER FJORD,7,421615,13,22,11,1700,21,1,2016-12-16T03:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
