LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.8806,30.19986,0,0,136,4,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.8806,30.19986,0,0,136,4,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88059,30.19987,0,0,135,3,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88059,30.19987,0,0,135,3,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88056,30.19992,0,0,135,2,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88056,30.19992,0,0,135,2,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88056,30.19992,0,0,135,4,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88056,30.19992,0,0,135,4,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88059,30.19989,0,0,135,3,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.88059,30.19989,0,0,135,3,SILLAMAE,MH,178,0,BOMAR VANQUISH,7,4515761,26,160,12,22308,11,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
